Roll Number,Total Number
544348,1137
544124,1114
544712,1107
544747,1098
544123,1088
544750,1088
544711,1087
544349,1083
544014,1071
544010,1070
545138,1070
544011,1069
544103,1067
544024,1064
544757,1062
544782,1058
544748,1057
544098,1056
544126,1050
544752,1050
544354,1049
544096,1042
544356,1041
544013,1040
544092,1040
544127,1039
544751,1039
544117,1036
544025,1034
544122,1033
544481,1032
544904,1029
547617,1028
544012,1027
544780,1025
544097,1023
544093,1020
544105,1020
544114,1020
545137,1013
544274,1008
544746,1008
544779,1008
545211,1008
544099,1007
544781,1007
544027,1006
544534,1006
544581,1005
544026,1003
544029,999
544758,999
544922,998
544094,997
544141,997
545025,997
544017,996
544009,993
544753,992
545220,991
545239,990
545125,989
545230,989
544107,985
544125,984
544265,984
548043,983
544016,982
544116,982
544749,982
544358,981
544100,980
544794,979
545096,979
545237,978
545235,977
544106,976
545142,976
544102,975
544482,975
544756,975
545221,973
545236,972
544112,971
545231,971
545124,968
544087,967
544118,966
545062,966
544018,964
544104,964
544732,964
545232,963
545233,963
548144,963
544113,962
544449,961
544839,961
548025,961
544310,960
545136,959
545227,957
545139,955
544923,954
544015,952
547638,952
544396,951
545026,949
544101,948
547236,948
544120,947
544115,946
544362,945
544924,944
545129,944
544121,943
544312,943
544350,943
544789,943
544770,942
544905,942
545140,942
545222,942
544788,941
544353,940
544826,940
548157,939
544404,938
545210,937
544040,936
544110,936
544907,935
545010,935
545064,935
545218,934
547567,934
547584,934
544466,933
545015,933
545032,933
545195,933
544136,932
544032,930
544906,930
544903,929
544262,928
544370,928
545184,927
544435,926
544870,926
545215,926
544076,925
544690,924
545178,924
544424,923
544784,922
545205,922
547633,922
544320,921
544824,921
547558,921
544030,920
544365,920
544366,920
544119,919
544709,919
545042,919
545228,919
547583,919
545130,918
548168,918
544976,917
545194,917
548156,917
547568,916
544755,915
545011,915
545181,915
544417,913
544765,913
545027,913
545122,913
544351,912
548147,912
544698,911
545144,911
544111,909
544409,909
544795,909
545238,909
544363,908
544022,907
544699,907
545033,907
545120,907
544825,906
544283,905
544467,905
547618,905
548039,905
544084,904
544108,903
545128,902
545197,902
547679,902
548061,902
547230,902
544677,901
544927,901
544933,901
545202,901
547615,901
544086,900
544268,900
544754,900
545121,900
545127,900
545219,900
547555,900
547235,900
545200,899
548044,899
548101,898
544035,897
544919,897
545111,897
547599,897
544019,896
544929,896
547663,896
544129,893
544316,893
544578,893
544974,893
544021,892
544028,892
544134,892
544328,892
544820,892
548146,892
544691,891
545243,891
547616,891
548152,891
544311,888
544313,888
544512,888
544828,888
544910,888
544023,887
544352,887
544710,887
545126,887
545134,887
545226,887
544448,886
544909,886
544260,885
547556,885
544053,884
544421,884
544624,884
544921,884
544359,883
544871,882
545009,882
548062,882
548134,882
544131,881
544840,881
547670,881
544056,880
544838,880
544997,880
545094,880
545224,880
547648,880
548145,878
547579,877
548160,877
544403,876
545131,876
544857,875
548093,875
544577,874
545141,874
544369,873
544514,873
545217,873
547646,873
545204,872
547671,872
544852,871
545123,871
547600,871
544254,870
544783,870
547621,870
548026,870
544109,868
544540,868
548159,868
544970,867
545240,867
550387,867
544135,866
544465,866
544713,866
545008,866
545253,866
547632,866
544660,865
545203,865
544065,864
544470,864
544912,864
548161,864
544410,863
544418,863
544701,863
548095,862
544317,861
544694,861
545252,861
547232,861
544355,860
548038,860
544067,859
544085,859
544599,859
544926,859
544368,858
544925,858
545095,858
547238,858
544146,857
544975,857
545229,857
544192,856
544321,856
544939,856
545201,856
544137,855
544161,855
545110,855
545143,855
545247,855
544068,854
544288,854
544768,854
544877,854
544869,853
544934,853
545132,853
548130,853
544052,852
544441,852
544930,852
545002,852
547698,852
544153,851
544931,851
545242,851
547680,851
544051,850
544162,850
547665,850
544911,849
545020,849
545214,849
545223,849
547602,849
547620,849
544913,848
544184,847
544759,847
544785,847
545254,847
548151,847
544332,846
544651,846
544036,845
544185,845
544206,845
544593,845
544674,845
544731,845
545043,845
545208,845
545212,845
544055,844
545213,844
548096,843
544155,842
544513,842
545109,842
547675,842
544020,841
544443,841
544670,841
544827,841
544928,841
547683,840
548165,840
550391,840
545261,839
548032,839
544973,838
545016,838
548167,838
544326,837
544623,837
548042,837
545100,836
545155,836
547709,836
547237,836
544075,835
544935,835
545108,835
545113,835
547559,835
548035,835
544832,834
547682,834
547233,834
544031,833
544793,833
544045,832
544510,832
544648,832
545180,832
547717,832
548124,832
548148,832
544041,831
544043,831
544703,831
545135,831
547673,831
548094,831
548150,831
544132,830
544284,830
544520,830
545030,830
545256,830
547668,830
548066,830
544656,829
544902,829
547685,829
544993,828
545028,828
547563,828
548076,828
544066,827
544364,827
545251,827
547707,827
548028,827
548139,827
544564,826
544848,826
544861,826
544888,826
544999,826
544318,825
544335,824
544846,824
545246,824
547676,824
544621,823
545037,823
545248,823
544845,822
545241,822
547644,822
544399,821
544573,821
544616,821
544908,821
545102,821
545182,821
545216,821
545245,821
548166,821
544164,820
544432,820
544582,820
544995,820
545117,820
545146,820
547231,820
544143,819
544917,819
544996,819
545258,819
547578,819
548029,819
544615,818
545162,818
545249,818
547612,818
548030,818
544207,817
544601,817
544635,817
545013,817
544033,816
544042,816
544095,816
544303,816
544594,816
544918,816
544940,816
545006,816
548075,816
544859,815
544936,815
545017,815
545255,815
547650,815
544860,814
547653,814
547705,814
548123,814
544361,813
544894,813
545153,813
547611,813
544209,812
544416,812
544764,812
544990,812
547585,812
544154,811
544386,811
544652,811
544502,810
545145,810
545183,810
545259,810
547570,810
544314,809
544439,809
544938,809
547715,809
544130,808
544595,808
545225,808
545257,808
545260,808
548149,808
544468,807
544705,807
544855,807
550399,807
547239,807
544475,806
544992,806
547692,806
548154,806
548162,806
544323,805
544327,805
544602,805
544937,805
547649,805
544991,804
545022,804
545106,804
545112,804
550375,804
544082,803
