Roll Number,Total Number
328658,1117
328481,1101
330014,1096
336327,1088
329417,1083
329956,1069
328497,1051
335207,1050
329959,1049
329291,1043
328660,1039
329961,1039
329247,1038
330839,1035
329416,1033
336522,1032
336103,1025
329955,1020
331278,1019
336504,1018
328692,1017
336106,1016
328669,1015
330874,1011
330875,1010
330893,1009
330867,1007
328483,1006
330868,1006
337361,1006
329009,1005
330480,1004
330004,1003
335265,1002
328547,1001
331211,1001
335244,1001
329968,997
330261,997
330869,997
331541,997
329855,996
337329,996
330401,995
328656,993
331173,992
328482,991
329852,991
330019,991
330838,989
328657,988
336626,987
330885,986
336332,986
336215,985
330430,984
331276,984
328490,983
328494,983
328495,983
330000,983
330905,983
329420,982
335245,982
328663,981
330902,981
331150,981
335266,981
337268,980
330566,979
336605,979
330492,977
335208,977
337328,977
329957,976
330866,975
328691,972
329469,972
329728,972
337269,972
328919,971
330015,971
330437,971
328491,970
330482,970
331272,969
331301,968
331508,968
328484,967
329193,967
330594,967
330486,966
330888,966
329789,965
330481,964
330483,964
330414,963
330876,963
335209,962
328554,961
328671,961
330877,961
328666,959
330013,959
330197,959
331318,959
328686,958
331092,958
328519,957
330488,957
328659,956
330564,956
330872,956
329996,955
330886,955
331089,955
331274,955
330737,954
330870,954
330878,954
331310,954
336502,954
328690,953
329249,951
337317,951
331170,950
328687,949
336503,949
328991,948
330565,948
331204,948
336505,948
328498,947
330046,947
330595,947
328485,946
330884,946
330837,945
331228,945
328989,944
329797,944
330572,944
331095,944
331097,944
329960,943
328679,942
328995,942
336507,942
328521,941
328534,941
329976,941
330006,941
330155,941
336570,941
337330,941
329250,939
330381,939
331090,939
336621,939
328552,938
329228,938
330003,938
331271,938
336333,938
336485,938
331473,937
331483,937
328486,936
331253,936
331480,936
336330,936
330894,935
331094,935
328670,934
329273,934
330431,934
329987,933
330570,933
330881,933
337376,933
330636,932
329039,931
330491,931
337369,931
328553,930
330485,930
335233,930
330020,929
336370,929
337390,929
328493,928
331273,928
328661,927
330425,927
331224,927
328688,926
336326,926
329648,925
330666,925
331293,925
331546,925
331018,924
329958,923
330578,923
331098,923
329964,922
331179,922
331474,922
336510,922
336521,922
328520,921
329115,921
328606,919
329726,919
330203,919
330478,919
331547,919
336190,919
337327,919
330880,918
331264,918
330571,917
331475,917
329471,916
331294,916
329120,915
330507,915
331227,915
331295,915
331503,915
330380,914
331286,914
331321,914
331462,914
336508,914
336539,914
338211,914
328662,913
329355,913
330898,913
331161,913
331287,913
331288,913
331459,913
330457,912
330484,912
336499,912
328535,911
330017,911
336358,911
328504,910
328994,910
331100,910
331104,910
328507,909
329017,909
330260,909
330383,909
330887,909
331136,909
331201,909
331317,909
329975,908
331195,908
331500,908
331513,908
329995,907
330522,907
331322,907
328489,906
328664,906
328850,906
330592,906
336551,906
337276,906
329796,905
330494,905
331183,905
331196,905
331476,905
331163,904
331199,904
331543,904
336560,904
330156,903
330890,903
331501,903
336483,903
336543,903
329473,902
330581,902
331190,902
331482,902
330012,901
330355,901
330871,901
331511,901
336268,901
330196,900
330536,900
331178,900
331367,900
331470,900
329003,899
329121,899
329981,899
330493,899
330727,899
331081,899
331306,899
331315,899
335232,899
328667,898
329025,898
329623,898
330523,898
331185,898
331328,898
331428,898
338237,898
328537,897
331259,897
331290,897
337368,897
337353,896
328992,895
329790,895
330573,895
331164,895
331175,895
331250,895
331307,895
336329,895
337301,895
328993,894
330016,894
331193,894
331277,894
335235,894
330002,893
330382,893
330479,893
331091,893
331119,893
331300,893
331409,893
331468,893
336589,893
330596,892
331292,892
331481,892
335216,892
328513,891
328555,891
328677,891
328722,891
329020,891
329040,891
330637,891
336571,891
329011,890
329963,890
329980,890
330963,890
331075,890
331461,890
336574,890
337338,890
328496,889
330832,889
330879,889
331079,889
331197,889
336523,889
329418,888
329503,888
329591,888
331099,888
331514,888
335253,888
336484,888
337374,888
329251,887
329840,887
330028,887
330356,887
330415,887
331465,887
331519,887
328492,886
330614,886
331071,886
331518,886
337281,886
337331,886
328488,885
329764,885
330384,885
330593,885
335210,885
336381,885
338240,885
328725,884
331141,884
331275,884
335270,884
338212,884
328501,883
328990,883
329978,883
338833,883
329012,882
331077,882
331093,882
331464,882
331466,882
331515,882
336099,882
337373,882
329851,881
330327,881
330443,881
330528,881
330815,881
331184,881
331316,881
336533,881
329006,880
329966,880
330635,880
331303,880
329799,879
330487,879
330985,879
331251,879
331314,879
330158,878
330568,878
330738,878
331296,878
331299,878
331304,878
331429,878
331516,878
337349,878
337378,878
328500,877
328909,877
329853,877
329982,877
330489,877
330567,877
330719,877
336552,877
336561,877
328505,876
331125,876
331207,876
331463,876
331527,876
337284,876
329005,875
329387,875
331221,875
331247,875
337370,875
328996,874
329683,874
330579,874
330598,874
330667,874
330959,874
330960,874
331144,874
336240,874
328898,873
331223,873
331302,873
331342,873
335237,873
336078,873
328487,872
328709,872
329015,872
329389,872
330530,872
331246,872
331375,872
331405,872
336530,872
337343,872
329116,871
331110,871
331162,871
331168,871
331319,871
331477,871
331486,871
328514,870
329414,870
330023,870
330634,870
331385,870
331471,870
336501,870
336577,870
328524,869
328532,869
328641,869
330398,869
331324,869
331485,869
335238,869
329263,868
331111,868
331291,868
331538,868
330354,867
330402,867
331078,867
331279,867
336143,867
337432,867
328680,866
329041,866
329475,866
329723,866
330027,866
330145,866
331206,866
331298,866
331320,866
331440,866
336648,866
330562,865
330575,865
331109,865
331218,865
336324,865
336538,865
336547,865
337388,865
330576,864
331269,864
331379,864
331406,864
336108,864
329122,863
329972,863
330448,863
330577,863
331210,863
331245,863
331357,863
336222,863
336434,863
337363,863
328511,862
329551,862
330580,862
336629,862
328591,861
331096,861
331167,861
331521,861
329470,860
329791,860
330655,860
331281,860
331472,860
336492,860
336554,860
336582,860
337339,860
328502,859
328673,859
329133,859
329472,859
330024,859
330157,859
330501,859
331120,859
336578,859
330021,858
330597,858
331088,858
331115,858
336081,858
336137,858
336187,858
336599,858
328541,857
329415,857
329626,857
329971,857
330408,857
330505,857
330741,857
331139,857
331217,857
336322,857
336494,857
338852,857
328522,856
328647,856
330444,856
331200,856
331240,856
331364,856
331370,856
331436,856
336506,856
336646,856
337334,856
337391,856
328997,855
331413,855
335294,855
337367,855
329240,854
329682,854
330520,854
331230,854
331425,854
336111,854
328856,853
331084,853
331198,853
336367,853
338834,853
329201,852
329545,852
330055,852
330149,852
330178,852
330428,852
330533,852
331213,852
331329,852
335211,852
336236,852
336627,852
337433,852
328523,851
329043,851
330184,851
331114,851
331180,851
331205,851
336442,851
336529,851
336617,851
328640,850
329765,850
329798,850
329856,850
329967,850
330160,850
331140,850
331181,850
331284,850
331313,850
331408,850
336579,850
328975,849
329101,849
331070,849
331186,849
331260,849
335236,849
328569,848
329010,848
329423,848
329992,848
330026,848
331308,848
331451,848
331460,848
331520,848
336404,848
330429,847
330559,847
330901,847
331312,847
331331,847
331341,847
331441,847
331504,847
328672,846
329021,846
329053,846
329237,846
329969,846
330432,846
331182,846
331191,846
331283,846
331327,846
331469,846
331490,846
336238,846
336488,846
336586,846
329393,845
330166,845
330889,845
331232,845
331539,845
336131,845
336509,845
337336,845
328639,844
329733,844
330169,844
330508,844
330563,844
330896,844
331387,844
336147,844
336393,844
336642,844
329253,843
330257,843
331101,843
331412,843
331434,843
328908,842
328998,842
329147,842
329341,842
329808,842
330471,842
331138,842
331194,842
336325,842
336486,842
328509,841
328558,841
328855,841
329024,841
329254,841
329794,841
330063,841
330424,841
330569,841
331166,841
331311,841
331467,841
329000,840
329014,840
329427,840
331007,840
331169,840
336331,840
336532,840
329795,839
331242,839
331244,839
335267,839
336534,839
337382,839
328694,838
329207,838
330038,838
330490,838
330653,838
330883,838
331368,838
336653,838
337350,838
329521,837
329712,837
331323,837
331334,837
336142,837
336335,837
336604,837
338850,837
328682,836
328724,836
329366,836
329984,836
330264,836
331157,836
331388,836
335271,836
329248,835
329335,835
329861,835
329965,835
331152,835
331343,835
331494,835
336651,835
337300,835
328506,834
330007,834
330039,834
330163,834
330263,834
330399,834
330435,834
330720,834
335293,834
336436,834
337354,834
328549,833
329044,833
329509,833
331309,833
331363,833
337344,833
328689,832
329596,832
330882,832
331006,832
331147,832
331282,832
331423,832
331427,832
331479,832
331484,832
336144,832
337397,832
338220,832
329609,831
329872,831
330205,831
331330,831
335218,831
337294,831
337324,831
337434,831
328527,830
330147,830
330185,830
330500,830
331254,830
331325,830
331358,830
329252,829
329817,829
330206,829
331305,829
331340,829
331438,829
336264,829
337288,829
329047,828
329767,828
329977,828
330268,828
331108,828
331289,828
331372,828
331487,828
331522,828
336138,828
336248,828
336512,828
336585,828
337342,828
328533,827
328538,827
328618,827
330029,827
330504,827
331422,827
336490,827
337431,827
328920,826
328921,826
329541,826
330025,826
330187,826
330495,826
330899,826
331080,826
331149,826
331495,826
336477,826
337389,826
338845,826
328517,825
328642,825
330211,825
330739,825
331261,825
331332,825
331361,825
331512,825
336241,825
336347,825
336380,825
337423,825
328926,824
329060,824
329130,824
330018,824
330161,824
330202,824
330403,824
330515,824
330895,824
331116,824
336160,824
336260,824
336447,824
337295,824
337304,824
337346,824
329553,823
330200,823
330231,823
330496,823
330873,823
331083,823
336415,823
329842,822
329845,822
330040,822
330189,822
330259,822
330320,822
330359,822
330416,822
330650,822
330717,822
336320,822
336541,822
337430,822
328638,821
329046,821
329362,821
329670,821
330071,821
330599,821
330647,821
330983,821
331203,821
331496,821
331510,821
336087,821
337333,821
337348,821
328510,820
329330,820
329629,820
329677,820
330116,820
330700,820
330775,820
330958,820
331054,820
331280,820
331542,820
336544,820
338232,820
329117,819
329331,819
329962,819
330022,819
330204,819
330459,819
330638,819
330736,819
331145,819
331523,819
335300,819
337332,819
337428,819
328723,818
329054,818
330064,818
330458,818
330516,818
330891,818
336371,818
329255,817
329432,817
330440,817
330903,817
330991,817
331146,817
331243,817
336141,817
337337,817
338241,817
338851,817
328636,816
328858,816
329128,816
329425,816
329870,816
330773,816
330992,816
331174,816
331488,816
335242,816
336239,816
336425,816
336437,816
336491,816
336542,816
336580,816
337308,816
337425,816
328668,815
329556,815
329838,815
330179,815
330674,815
331121,815
331338,815
335257,815
336090,815
336116,815
337426,815
329343,814
329468,814
329846,814
330325,814
330417,814
330497,814
330754,814
331489,814
335223,814
336302,814
336518,814
336591,814
328550,813
328628,813
328665,813
328918,813
329323,813
329953,813
329974,813
329983,813
330066,813
330469,813
336250,813
336345,813
336350,813
336419,813
337270,813
337278,813
337299,813
337364,813
328531,812
328652,812
328676,812
329008,812
330423,812
330900,812
330907,812
