Roll Number,Total Number
128593,1238
128596,1219
128575,1212
128664,1211
129006,1211
129076,1205
128597,1197
128705,1196
128565,1195
128658,1191
129310,1191
129208,1187
128564,1186
128663,1185
128656,1184
128673,1183
128713,1180
129008,1180
129200,1179
128595,1174
128739,1174
128567,1169
129642,1169
129198,1168
128682,1167
128563,1164
128566,1162
128594,1162
128734,1161
128702,1160
129641,1160
128574,1158
128740,1158
128573,1154
128680,1152
128569,1150
129212,1150
128743,1149
128652,1148
128717,1147
128719,1146
128668,1145
128657,1142
131819,1142
128662,1140
128678,1139
128694,1139
128701,1137
128718,1137
128570,1136
128706,1136
129210,1136
131820,1134
128660,1132
128741,1132
128578,1131
128695,1130
128677,1129
128684,1129
128770,1129
129605,1129
128589,1128
128653,1128
128671,1128
128697,1128
128577,1127
128571,1126
129307,1125
129639,1125
129647,1125
129646,1123
129293,1122
128690,1121
128689,1120
128714,1120
128771,1117
128765,1116
128698,1115
128748,1115
128600,1113
129652,1113
129638,1112
128699,1111
129308,1111
132379,1111
129640,1110
128735,1109
129606,1109
128685,1108
128672,1107
129090,1107
129007,1106
128692,1105
128711,1105
129292,1104
128696,1102
128661,1100
128669,1100
128676,1100
128670,1099
128591,1098
128572,1097
129677,1097
128605,1094
128606,1094
129261,1092
129679,1090
128712,1089
128799,1089
128674,1088
128704,1088
128938,1088
129010,1088
128659,1087
128769,1087
129306,1087
128693,1086
128568,1085
128599,1085
128654,1085
129595,1085
129648,1085
128598,1084
132138,1084
128655,1083
128729,1083
129666,1083
129204,1081
129592,1081
129670,1081
129273,1079
128608,1077
129672,1077
128871,1076
129634,1075
128679,1074
128722,1074
128691,1073
128686,1072
128687,1072
129667,1072
128941,1071
129651,1070
128716,1068
128766,1068
128730,1067
129291,1067
128650,1066
128666,1066
128733,1066
128580,1065
128781,1065
129011,1065
132149,1065
132390,1065
128604,1064
129668,1064
128700,1063
132091,1063
128683,1062
128723,1060
128782,1060
129669,1060
128708,1058
128747,1058
132393,1058
129590,1057
128746,1056
129199,1055
129305,1052
132087,1052
128607,1051
129295,1051
132378,1051
129303,1050
129593,1050
128715,1049
128980,1049
132430,1049
128603,1048
129673,1048
129272,1047
132137,1047
128667,1046
128585,1045
129269,1045
129591,1045
128579,1043
128749,1043
128961,1043
129012,1043
129614,1043
128996,1041
129257,1041
132432,1041
129649,1040
129729,1040
128601,1039
128688,1039
129195,1039
129675,1039
128581,1038
129256,1037
128592,1036
128681,1036
128784,1036
129521,1036
128707,1032
128772,1032
128797,1032
129087,1032
132381,1032
128576,1031
128703,1031
128724,1031
132372,1031
128665,1030
129203,1030
129671,1030
129694,1030
129726,1030
132395,1030
